year,date,stage,home_team,away_team,home_goals,away_goals,winner,match_id,goal_diff,result
1974,1974-06-10,Quarter-finals,South Korea,Sweden,0,0,Draw,1,0,Draw
1974,1974-06-10,Quarter-finals,Ghana,Switzerland,2,0,Ghana,2,2,Win
1974,1974-06-10,Group Stage,Sweden,Saudi Arabia,2,0,Sweden,3,2,Win
1974,1974-06-10,Group Stage,Cameroon,Uruguay,2,1,Cameroon,4,1,Win
1974,1974-06-10,Group Stage,Nigeria,Japan,2,1,Nigeria,5,1,Win
1974,1974-06-10,Group Stage,Saudi Arabia,Iran,2,0,Saudi Arabia,6,2,Win
1974,1974-06-11,Group Stage,Algeria,Cameroon,1,2,Cameroon,7,-1,Loss
1974,1974-06-11,Group Stage,Portugal,Argentina,1,2,Argentina,8,-1,Loss
1974,1974-06-11,Group Stage,Cameroon,Saudi Arabia,2,1,Cameroon,9,1,Win
1974,1974-06-12,Round of 16,USA,Costa Rica,0,0,Draw,10,0,Draw
1974,1974-06-12,Group Stage,Belgium,Egypt,1,2,Egypt,11,-1,Loss
1974,1974-06-12,Group Stage,Brazil,Germany,1,1,Draw,12,0,Draw
1974,1974-06-12,Round of 16,Denmark,Portugal,1,0,Denmark,13,1,Win
1974,1974-06-13,Group Stage,Senegal,Switzerland,0,2,Switzerland,14,-2,Loss
1974,1974-06-14,Group Stage,Nigeria,Tunisia,2,2,Draw,15,0,Draw
1974,1974-06-14,Group Stage,Netherlands,Portugal,1,1,Draw,16,0,Draw
1974,1974-06-14,Group Stage,Saudi Arabia,Japan,2,2,Draw,17,0,Draw
1974,1974-06-14,Group Stage,Morocco,Ghana,0,2,Ghana,18,-2,Loss
1974,1974-06-14,Group Stage,Croatia,Denmark,2,1,Croatia,19,1,Win
1974,1974-06-15,Group Stage,Croatia,Argentina,2,2,Draw,20,0,Draw
1974,1974-06-15,Group Stage,Australia,Uruguay,2,0,Australia,21,2,Win
1974,1974-06-15,Semi-finals,France,Algeria,1,0,France,22,1,Win
1974,1974-06-15,Group Stage,France,Mexico,1,0,France,23,1,Win
1974,1974-06-15,Group Stage,South Korea,Argentina,2,0,South Korea,24,2,Win
1974,1974-06-15,Group Stage,Egypt,Mexico,1,1,Draw,25,0,Draw
1974,1974-06-15,Group Stage,Morocco,Iran,2,1,Morocco,26,1,Win
1974,1974-06-15,Round of 16,Ghana,Germany,1,0,Ghana,27,1,Win
1974,1974-06-16,Group Stage,Mexico,Switzerland,2,1,Mexico,28,1,Win
1974,1974-06-16,Group Stage,Nigeria,Italy,3,1,Nigeria,29,2,Win
1974,1974-06-16,Group Stage,Japan,Nigeria,1,0,Japan,30,1,Win
1974,1974-06-17,Group Stage,Iran,Sweden,1,1,Draw,31,0,Draw
1974,1974-06-17,Group Stage,Egypt,Argentina,0,1,Argentina,32,-1,Loss
1974,1974-06-17,Group Stage,Belgium,Mexico,0,1,Mexico,33,-1,Loss
1974,1974-06-17,Round of 16,Brazil,Senegal,0,0,Draw,34,0,Draw
1974,1974-06-17,Group Stage,Sweden,Iran,1,1,Draw,35,0,Draw
1974,1974-06-18,Group Stage,Switzerland,Sweden,1,0,Switzerland,36,1,Win
1974,1974-06-18,Group Stage,Netherlands,Germany,1,0,Netherlands,37,1,Win
1974,1974-06-18,Group Stage,Poland,Saudi Arabia,1,1,Draw,38,0,Draw
1974,1974-06-18,Group Stage,Iran,Belgium,1,0,Iran,39,1,Win
1974,1974-06-20,Semi-finals,Algeria,Tunisia,1,0,Algeria,40,1,Win
1974,1974-06-20,Group Stage,Spain,Argentina,2,1,Spain,41,1,Win
1974,1974-06-20,Group Stage,Argentina,Denmark,2,1,Argentina,42,1,Win
1974,1974-06-21,Group Stage,Portugal,Switzerland,0,1,Switzerland,43,-1,Loss
1974,1974-06-21,Group Stage,Switzerland,Egypt,2,0,Switzerland,44,2,Win
1974,1974-06-21,Round of 16,Italy,Belgium,1,1,Draw,45,0,Draw
1974,1974-06-22,Group Stage,Iran,Sweden,3,2,Iran,46,1,Win
1974,1974-06-22,Final,Portugal,Spain,2,1,Portugal,47,1,Win
1974,1974-06-22,Third Place,Japan,Nigeria,1,2,Nigeria,48,-1,Loss
1974,1974-06-23,Quarter-finals,Senegal,Germany,1,0,Senegal,49,1,Win
1974,1974-06-23,Group Stage,Brazil,France,1,0,Brazil,50,1,Win
1974,1974-06-23,Group Stage,Australia,Iran,0,1,Iran,51,-1,Loss
1974,1974-06-23,Group Stage,Sweden,Mexico,1,1,Draw,52,0,Draw
1974,1974-06-24,Group Stage,Cameroon,Nigeria,1,0,Cameroon,53,1,Win
1974,1974-06-24,Group Stage,Tunisia,Uruguay,0,0,Draw,54,0,Draw
1974,1974-06-24,Round of 16,Switzerland,Morocco,0,0,Draw,55,0,Draw
1974,1974-06-24,Group Stage,Poland,Iran,0,2,Iran,56,-2,Loss
1974,1974-06-25,Round of 16,Germany,Poland,2,0,Germany,57,2,Win
1974,1974-06-25,Group Stage,Tunisia,Mexico,2,1,Tunisia,58,1,Win
1974,1974-06-25,Group Stage,France,Denmark,1,2,Denmark,59,-1,Loss
1974,1974-06-25,Group Stage,Senegal,Algeria,2,3,Algeria,60,-1,Loss
1974,1974-06-25,Group Stage,Croatia,Italy,2,1,Croatia,61,1,Win
1974,1974-06-26,Quarter-finals,Spain,Senegal,2,2,Draw,62,0,Draw
1974,1974-06-26,Round of 16,Croatia,Portugal,1,2,Portugal,63,-1,Loss
1974,1974-06-26,Group Stage,USA,Poland,2,1,USA,64,1,Win
1978,1978-06-10,Group Stage,Mexico,Portugal,0,1,Portugal,65,-1,Loss
1978,1978-06-11,Group Stage,Croatia,Iran,0,3,Iran,66,-3,Loss
1978,1978-06-12,Round of 16,Netherlands,Germany,1,1,Draw,67,0,Draw
1978,1978-06-12,Group Stage,Nigeria,Poland,0,1,Poland,68,-1,Loss
1978,1978-06-12,Group Stage,Italy,Uruguay,1,0,Italy,69,1,Win
1978,1978-06-12,Round of 16,Tunisia,Nigeria,0,0,Draw,70,0,Draw
1978,1978-06-12,Group Stage,Netherlands,Poland,1,0,Netherlands,71,1,Win
1978,1978-06-12,Group Stage,Argentina,Saudi Arabia,0,2,Saudi Arabia,72,-2,Loss
1978,1978-06-12,Group Stage,Algeria,Netherlands,2,3,Netherlands,73,-1,Loss
1978,1978-06-13,Round of 16,Poland,Morocco,1,0,Poland,74,1,Win
1978,1978-06-13,Group Stage,Belgium,Denmark,2,2,Draw,75,0,Draw
1978,1978-06-13,Group Stage,Sweden,Morocco,3,3,Draw,76,0,Draw
1978,1978-06-13,Group Stage,Sweden,Mexico,1,1,Draw,77,0,Draw
1978,1978-06-13,Group Stage,Japan,Australia,2,0,Japan,78,2,Win
1978,1978-06-13,Group Stage,USA,Sweden,1,1,Draw,79,0,Draw
1978,1978-06-13,Group Stage,Switzerland,Morocco,1,3,Morocco,80,-2,Loss
1978,1978-06-13,Final,Italy,England,1,0,Italy,81,1,Win
1978,1978-06-13,Group Stage,Croatia,Senegal,1,1,Draw,82,0,Draw
1978,1978-06-14,Group Stage,Costa Rica,Senegal,1,1,Draw,83,0,Draw
1978,1978-06-14,Group Stage,Brazil,Senegal,1,0,Brazil,84,1,Win
1978,1978-06-15,Group Stage,Croatia,Germany,1,3,Germany,85,-2,Loss
1978,1978-06-15,Quarter-finals,Spain,Belgium,1,1,Draw,86,0,Draw
1978,1978-06-16,Group Stage,Spain,Japan,1,2,Japan,87,-1,Loss
1978,1978-06-16,Group Stage,Sweden,Spain,1,1,Draw,88,0,Draw
1978,1978-06-16,Group Stage,England,Costa Rica,2,0,England,89,2,Win
1978,1978-06-17,Round of 16,Belgium,Poland,1,1,Draw,90,0,Draw
1978,1978-06-17,Group Stage,Senegal,England,2,2,Draw,91,0,Draw
1978,1978-06-17,Group Stage,Cameroon,South Korea,0,1,South Korea,92,-1,Loss
1978,1978-06-20,Group Stage,Algeria,Cameroon,0,1,Cameroon,93,-1,Loss
1978,1978-06-20,Round of 16,Tunisia,Nigeria,1,1,Draw,94,0,Draw
1978,1978-06-20,Quarter-finals,Italy,Japan,0,1,Japan,95,-1,Loss
1978,1978-06-20,Group Stage,Croatia,Saudi Arabia,1,2,Saudi Arabia,96,-1,Loss
1978,1978-06-20,Group Stage,Egypt,Argentina,2,0,Egypt,97,2,Win
1978,1978-06-21,Group Stage,Switzerland,Cameroon,3,1,Switzerland,98,2,Win
1978,1978-06-21,Group Stage,Costa Rica,Sweden,0,1,Sweden,99,-1,Loss
1978,1978-06-21,Group Stage,Cameroon,Denmark,1,0,Cameroon,100,1,Win
1978,1978-06-22,Group Stage,Saudi Arabia,Spain,2,1,Saudi Arabia,101,1,Win
1978,1978-06-22,Group Stage,Croatia,Belgium,1,2,Belgium,102,-1,Loss
1978,1978-06-22,Third Place,Switzerland,Tunisia,1,1,Draw,103,0,Draw
1978,1978-06-22,Group Stage,Morocco,Egypt,0,0,Draw,104,0,Draw
1978,1978-06-23,Quarter-finals,Iran,Switzerland,1,1,Draw,105,0,Draw
1978,1978-06-23,Group Stage,Germany,Iran,1,2,Iran,106,-1,Loss
1978,1978-06-23,Group Stage,Poland,Mexico,1,1,Draw,107,0,Draw
1978,1978-06-23,Group Stage,Iran,Italy,1,1,Draw,108,0,Draw
1978,1978-06-23,Group Stage,Spain,Australia,0,0,Draw,109,0,Draw
1978,1978-06-23,Group Stage,Egypt,Mexico,0,1,Mexico,110,-1,Loss
1978,1978-06-23,Group Stage,Denmark,Italy,1,2,Italy,111,-1,Loss
1978,1978-06-23,Group Stage,Morocco,Germany,2,1,Morocco,112,1,Win
1978,1978-06-24,Semi-finals,Saudi Arabia,Switzerland,0,1,Switzerland,113,-1,Loss
1978,1978-06-24,Group Stage,Uruguay,Algeria,0,3,Algeria,114,-3,Loss
1978,1978-06-24,Group Stage,Ghana,Senegal,1,1,Draw,115,0,Draw
1978,1978-06-24,Group Stage,Iran,Algeria,3,1,Iran,116,2,Win
1978,1978-06-24,Round of 16,Brazil,Sweden,1,1,Draw,117,0,Draw
1978,1978-06-25,Quarter-finals,Poland,Uruguay,1,1,Draw,118,0,Draw
1978,1978-06-25,Group Stage,Senegal,Egypt,1,1,Draw,119,0,Draw
1978,1978-06-25,Round of 16,France,Morocco,0,1,Morocco,120,-1,Loss
1978,1978-06-25,Group Stage,Ghana,France,1,3,France,121,-2,Loss
1978,1978-06-25,Round of 16,Croatia,Netherlands,2,2,Draw,122,0,Draw
1978,1978-06-26,Group Stage,Netherlands,Nigeria,2,2,Draw,123,0,Draw
1978,1978-06-26,Group Stage,Denmark,Egypt,1,0,Denmark,124,1,Win
1978,1978-06-26,Semi-finals,Spain,USA,1,1,Draw,125,0,Draw
1978,1978-06-27,Group Stage,Tunisia,Australia,1,2,Australia,126,-1,Loss
1978,1978-06-27,Group Stage,Japan,Ghana,1,3,Ghana,127,-2,Loss
1978,1978-06-27,Group Stage,Iran,Senegal,0,2,Senegal,128,-2,Loss
1982,1982-06-10,Round of 16,Sweden,Nigeria,0,1,Nigeria,129,-1,Loss
1982,1982-06-10,Group Stage,France,Ghana,1,0,France,130,1,Win
1982,1982-06-11,Group Stage,Mexico,Belgium,2,1,Mexico,131,1,Win
1982,1982-06-11,Semi-finals,Saudi Arabia,Ghana,1,1,Draw,132,0,Draw
1982,1982-06-11,Group Stage,Australia,England,0,3,England,133,-3,Loss
1982,1982-06-11,Group Stage,Portugal,Mexico,0,1,Mexico,134,-1,Loss
1982,1982-06-12,Group Stage,Spain,Sweden,2,2,Draw,135,0,Draw
1982,1982-06-12,Group Stage,Algeria,Japan,0,2,Japan,136,-2,Loss
1982,1982-06-12,Quarter-finals,Iran,Tunisia,0,0,Draw,137,0,Draw
1982,1982-06-12,Group Stage,Iran,Senegal,2,1,Iran,138,1,Win
1982,1982-06-12,Group Stage,Italy,Iran,1,1,Draw,139,0,Draw
1982,1982-06-12,Group Stage,Algeria,Portugal,1,2,Portugal,140,-1,Loss
1982,1982-06-12,Group Stage,Italy,Denmark,0,0,Draw,141,0,Draw
1982,1982-06-13,Group Stage,Costa Rica,Belgium,1,0,Costa Rica,142,1,Win
1982,1982-06-13,Group Stage,Uruguay,Costa Rica,1,0,Uruguay,143,1,Win
1982,1982-06-13,Group Stage,Denmark,Japan,3,1,Denmark,144,2,Win
1982,1982-06-13,Group Stage,Brazil,Morocco,3,3,Draw,145,0,Draw
1982,1982-06-14,Group Stage,Uruguay,Algeria,3,0,Uruguay,146,3,Win
1982,1982-06-14,Group Stage,Morocco,Senegal,2,1,Morocco,147,1,Win
1982,1982-06-14,Group Stage,Saudi Arabia,Switzerland,3,1,Saudi Arabia,148,2,Win
1982,1982-06-14,Third Place,Croatia,Iran,1,0,Croatia,149,1,Win
1982,1982-06-15,Group Stage,Belgium,Italy,2,2,Draw,150,0,Draw
1982,1982-06-15,Group Stage,Argentina,Spain,1,0,Argentina,151,1,Win
1982,1982-06-15,Group Stage,Belgium,Egypt,1,2,Egypt,152,-1,Loss
1982,1982-06-15,Group Stage,Spain,Saudi Arabia,3,1,Spain,153,2,Win
1982,1982-06-15,Semi-finals,Morocco,Nigeria,2,0,Morocco,154,2,Win
1982,1982-06-15,Group Stage,Croatia,Poland,1,3,Poland,155,-2,Loss
1982,1982-06-17,Round of 16,Netherlands,Uruguay,0,0,Draw,156,0,Draw
1982,1982-06-17,Group Stage,Algeria,Costa Rica,1,1,Draw,157,0,Draw
1982,1982-06-17,Group Stage,Australia,Netherlands,0,2,Netherlands,158,-2,Loss
1982,1982-06-17,Group Stage,England,Argentina,1,3,Argentina,159,-2,Loss
1982,1982-06-18,Group Stage,Morocco,Germany,0,0,Draw,160,0,Draw
1982,1982-06-18,Group Stage,Uruguay,Netherlands,0,1,Netherlands,161,-1,Loss
1982,1982-06-18,Group Stage,Costa Rica,USA,0,0,Draw,162,0,Draw
1982,1982-06-18,Group Stage,Iran,Uruguay,3,1,Iran,163,2,Win
1982,1982-06-18,Quarter-finals,Argentina,Algeria,1,1,Draw,164,0,Draw
1982,1982-06-19,Group Stage,Iran,Denmark,2,1,Iran,165,1,Win
1982,1982-06-20,Group Stage,Sweden,Egypt,0,0,Draw,166,0,Draw
1982,1982-06-20,Group Stage,Belgium,Iran,2,1,Belgium,167,1,Win
1982,1982-06-20,Group Stage,Australia,Portugal,2,0,Australia,168,2,Win
1982,1982-06-21,Round of 16,Switzerland,Belgium,0,0,Draw,169,0,Draw
1982,1982-06-21,Round of 16,Netherlands,Iran,1,1,Draw,170,0,Draw
1982,1982-06-21,Round of 16,Ghana,Tunisia,1,1,Draw,171,0,Draw
1982,1982-06-22,Group Stage,Belgium,Nigeria,1,1,Draw,172,0,Draw
1982,1982-06-22,Quarter-finals,Ghana,Egypt,0,0,Draw,173,0,Draw
1982,1982-06-22,Round of 16,Egypt,Mexico,1,1,Draw,174,0,Draw
1982,1982-06-22,Group Stage,Belgium,Egypt,0,1,Egypt,175,-1,Loss
1982,1982-06-22,Group Stage,South Korea,Portugal,3,1,South Korea,176,2,Win
1982,1982-06-23,Group Stage,Germany,Uruguay,1,1,Draw,177,0,Draw
1982,1982-06-23,Group Stage,Denmark,Algeria,3,1,Denmark,178,2,Win
1982,1982-06-23,Group Stage,Argentina,Costa Rica,1,1,Draw,179,0,Draw
1982,1982-06-23,Group Stage,Denmark,Germany,0,1,Germany,180,-1,Loss
1982,1982-06-23,Quarter-finals,Netherlands,Denmark,2,1,Netherlands,181,1,Win
1982,1982-06-24,Round of 16,Portugal,France,1,2,France,182,-1,Loss
1982,1982-06-24,Round of 16,Morocco,Poland,1,1,Draw,183,0,Draw
1982,1982-06-25,Group Stage,Belgium,Germany,2,0,Belgium,184,2,Win
1982,1982-06-25,Group Stage,Tunisia,Netherlands,1,1,Draw,185,0,Draw
1982,1982-06-26,Group Stage,France,Japan,2,1,France,186,1,Win
1982,1982-06-26,Final,Egypt,USA,1,1,Draw,187,0,Draw
1982,1982-06-27,Group Stage,Portugal,Tunisia,0,2,Tunisia,188,-2,Loss
1982,1982-06-27,Group Stage,Morocco,Argentina,0,2,Argentina,189,-2,Loss
1982,1982-06-27,Group Stage,Australia,France,1,1,Draw,190,0,Draw
1982,1982-06-27,Group Stage,Spain,Tunisia,1,1,Draw,191,0,Draw
1982,1982-06-27,Group Stage,Netherlands,Croatia,2,1,Netherlands,192,1,Win
1986,1986-06-10,Group Stage,Italy,Costa Rica,1,0,Italy,193,1,Win
1986,1986-06-10,Group Stage,South Korea,USA,1,2,USA,194,-1,Loss
1986,1986-06-10,Group Stage,Spain,England,1,1,Draw,195,0,Draw
1986,1986-06-10,Group Stage,Netherlands,Cameroon,2,1,Netherlands,196,1,Win
1986,1986-06-10,Group Stage,Germany,Iran,0,1,Iran,197,-1,Loss
1986,1986-06-11,Quarter-finals,Senegal,Ghana,0,1,Ghana,198,-1,Loss
1986,1986-06-11,Group Stage,Saudi Arabia,Nigeria,1,1,Draw,199,0,Draw
1986,1986-06-11,Quarter-finals,France,Australia,0,1,Australia,200,-1,Loss
1986,1986-06-11,Group Stage,Algeria,Denmark,1,1,Draw,201,0,Draw
1986,1986-06-11,Round of 16,Sweden,Netherlands,1,1,Draw,202,0,Draw
1986,1986-06-11,Group Stage,USA,Saudi Arabia,2,0,USA,203,2,Win
1986,1986-06-11,Round of 16,Japan,Costa Rica,1,1,Draw,204,0,Draw
1986,1986-06-11,Round of 16,Tunisia,Poland,1,0,Tunisia,205,1,Win
1986,1986-06-12,Group Stage,Iran,Costa Rica,2,1,Iran,206,1,Win
1986,1986-06-12,Round of 16,Netherlands,Denmark,1,1,Draw,207,0,Draw
1986,1986-06-13,Group Stage,France,Croatia,2,1,France,208,1,Win
1986,1986-06-13,Semi-finals,USA,Argentina,1,2,Argentina,209,-1,Loss
1986,1986-06-13,Group Stage,Spain,Belgium,0,1,Belgium,210,-1,Loss
1986,1986-06-14,Group Stage,Spain,Saudi Arabia,3,0,Spain,211,3,Win
1986,1986-06-14,Group Stage,Brazil,Croatia,2,1,Brazil,212,1,Win
1986,1986-06-14,Group Stage,Nigeria,Spain,0,1,Spain,213,-1,Loss
1986,1986-06-15,Group Stage,Algeria,Sweden,0,1,Sweden,214,-1,Loss
1986,1986-06-15,Group Stage,Poland,Egypt,1,1,Draw,215,0,Draw
1986,1986-06-16,Group Stage,Japan,Senegal,2,1,Japan,216,1,Win
1986,1986-06-16,Quarter-finals,South Korea,Brazil,1,1,Draw,217,0,Draw
1986,1986-06-16,Group Stage,USA,Egypt,2,0,USA,218,2,Win
1986,1986-06-16,Round of 16,Netherlands,Japan,1,0,Netherlands,219,1,Win
1986,1986-06-16,Group Stage,Morocco,South Korea,1,2,South Korea,220,-1,Loss
1986,1986-06-16,Group Stage,Croatia,Egypt,1,0,Croatia,221,1,Win
1986,1986-06-16,Group Stage,Algeria,Brazil,0,3,Brazil,222,-3,Loss
1986,1986-06-17,Group Stage,Argentina,Senegal,2,2,Draw,223,0,Draw
1986,1986-06-17,Group Stage,Nigeria,Senegal,1,2,Senegal,224,-1,Loss
1986,1986-06-17,Group Stage,Netherlands,Italy,2,3,Italy,225,-1,Loss
1986,1986-06-17,Group Stage,Switzerland,Uruguay,1,0,Switzerland,226,1,Win
1986,1986-06-17,Group Stage,Tunisia,Mexico,2,0,Tunisia,227,2,Win
1986,1986-06-17,Group Stage,Iran,USA,1,3,USA,228,-2,Loss
1986,1986-06-18,Group Stage,Portugal,Senegal,1,3,Senegal,229,-2,Loss
1986,1986-06-18,Group Stage,Ghana,Argentina,0,2,Argentina,230,-2,Loss
1986,1986-06-18,Group Stage,South Korea,Mexico,0,2,Mexico,231,-2,Loss
1986,1986-06-18,Group Stage,Poland,Saudi Arabia,0,2,Saudi Arabia,232,-2,Loss
1986,1986-06-18,Final,Egypt,Uruguay,0,0,Draw,233,0,Draw
1986,1986-06-18,Group Stage,South Korea,Egypt,2,0,South Korea,234,2,Win
1986,1986-06-19,Group Stage,England,Sweden,1,2,Sweden,235,-1,Loss
1986,1986-06-20,Semi-finals,Croatia,Morocco,1,1,Draw,236,0,Draw
1986,1986-06-20,Group Stage,Sweden,Japan,1,1,Draw,237,0,Draw
1986,1986-06-21,Group Stage,Egypt,Poland,0,0,Draw,238,0,Draw
1986,1986-06-22,Group Stage,Sweden,Morocco,1,2,Morocco,239,-1,Loss
1986,1986-06-22,Group Stage,USA,Australia,0,0,Draw,240,0,Draw
1986,1986-06-23,Group Stage,France,Portugal,0,1,Portugal,241,-1,Loss
1986,1986-06-23,Third Place,Argentina,Germany,0,1,Germany,242,-1,Loss
1986,1986-06-23,Group Stage,Croatia,Poland,3,1,Croatia,243,2,Win
1986,1986-06-23,Group Stage,Algeria,Sweden,2,1,Algeria,244,1,Win
1986,1986-06-24,Group Stage,Denmark,Netherlands,0,0,Draw,245,0,Draw
1986,1986-06-24,Round of 16,Brazil,Croatia,2,1,Brazil,246,1,Win
1986,1986-06-24,Group Stage,Germany,Cameroon,1,0,Germany,247,1,Win
1986,1986-06-24,Round of 16,Spain,Cameroon,2,2,Draw,248,0,Draw
1986,1986-06-25,Group Stage,Egypt,Netherlands,1,2,Netherlands,249,-1,Loss
1986,1986-06-25,Group Stage,South Korea,USA,2,0,South Korea,250,2,Win
1986,1986-06-25,Group Stage,Belgium,Mexico,0,2,Mexico,251,-2,Loss
1986,1986-06-25,Round of 16,Nigeria,Brazil,1,1,Draw,252,0,Draw
1986,1986-06-26,Group Stage,Netherlands,Sweden,0,0,Draw,253,0,Draw
1986,1986-06-26,Group Stage,Netherlands,Sweden,0,1,Sweden,254,-1,Loss
1986,1986-06-26,Group Stage,Cameroon,USA,2,2,Draw,255,0,Draw
1986,1986-06-27,Quarter-finals,Morocco,France,2,1,Morocco,256,1,Win
1990,1990-06-10,Group Stage,Spain,Ghana,1,2,Ghana,257,-1,Loss
1990,1990-06-11,Group Stage,Nigeria,USA,1,3,USA,258,-2,Loss
1990,1990-06-11,Group Stage,Netherlands,Nigeria,1,0,Netherlands,259,1,Win
1990,1990-06-11,Group Stage,Switzerland,South Korea,2,2,Draw,260,0,Draw
1990,1990-06-11,Group Stage,Denmark,Poland,1,0,Denmark,261,1,Win
1990,1990-06-11,Group Stage,France,Switzerland,1,3,Switzerland,262,-2,Loss
1990,1990-06-12,Round of 16,South Korea,Uruguay,1,1,Draw,263,0,Draw
1990,1990-06-13,Group Stage,Italy,Switzerland,2,2,Draw,264,0,Draw
1990,1990-06-13,Group Stage,Spain,Cameroon,3,0,Spain,265,3,Win
1990,1990-06-13,Group Stage,Ghana,Saudi Arabia,1,0,Ghana,266,1,Win
1990,1990-06-13,Group Stage,Costa Rica,Egypt,3,1,Costa Rica,267,2,Win
1990,1990-06-13,Group Stage,Italy,Belgium,1,0,Italy,268,1,Win
1990,1990-06-14,Group Stage,Senegal,Costa Rica,0,3,Costa Rica,269,-3,Loss
1990,1990-06-14,Group Stage,Tunisia,France,1,1,Draw,270,0,Draw
1990,1990-06-14,Group Stage,Australia,Nigeria,1,0,Australia,271,1,Win
1990,1990-06-14,Group Stage,England,Belgium,1,1,Draw,272,0,Draw
1990,1990-06-14,Group Stage,Brazil,Argentina,0,1,Argentina,273,-1,Loss
1990,1990-06-15,Round of 16,Ghana,England,2,2,Draw,274,0,Draw
1990,1990-06-16,Group Stage,Italy,Sweden,1,0,Italy,275,1,Win
1990,1990-06-16,Group Stage,Belgium,Iran,2,1,Belgium,276,1,Win
1990,1990-06-16,Group Stage,Algeria,France,3,2,Algeria,277,1,Win
1990,1990-06-16,Group Stage,Belgium,Germany,1,0,Belgium,278,1,Win
